value_date,variable_name,location,measurement_unit,value
1985-06-01T13:00:00Z,QINE,DRRC2,CFS,747.78455
1985-06-01T14:00:00Z,QINE,DRRC2,CFS,735.21606
1985-06-01T15:00:00Z,QINE,DRRC2,CFS,722.6476
1985-06-01T16:00:00Z,QINE,DRRC2,CFS,710.0755
1985-06-01T17:00:00Z,QINE,DRRC2,CFS,697.507
1985-06-01T18:00:00Z,QINE,DRRC2,CFS,684.93854
1985-06-01T19:00:00Z,QINE,DRRC2,CFS,683.33527
1985-06-01T20:00:00Z,QINE,DRRC2,CFS,681.732
1985-06-01T21:00:00Z,QINE,DRRC2,CFS,680.1287
1985-06-01T22:00:00Z,QINE,DRRC2,CFS,678.5219
1985-06-01T23:00:00Z,QINE,DRRC2,CFS,676.9186
1985-06-02T00:00:00Z,QINE,DRRC2,CFS,675.31537
1985-06-02T01:00:00Z,QINE,DRRC2,CFS,686.4323
1985-06-02T02:00:00Z,QINE,DRRC2,CFS,697.5494
1985-06-02T03:00:00Z,QINE,DRRC2,CFS,708.66644
1985-06-02T04:00:00Z,QINE,DRRC2,CFS,719.7835
1985-06-02T05:00:00Z,QINE,DRRC2,CFS,730.9006
1985-06-02T06:00:00Z,QINE,DRRC2,CFS,742.01764
1985-06-02T07:00:00Z,QINE,DRRC2,CFS,740.5521
1985-06-02T08:00:00Z,QINE,DRRC2,CFS,739.08655
1985-06-02T09:00:00Z,QINE,DRRC2,CFS,737.6245
1985-06-02T10:00:00Z,QINE,DRRC2,CFS,736.15894
1985-06-02T11:00:00Z,QINE,DRRC2,CFS,734.69336
1985-06-02T12:00:00Z,QINE,DRRC2,CFS,733.2278
1985-06-02T13:00:00Z,QINE,DRRC2,CFS,720.4686
1985-06-02T14:00:00Z,QINE,DRRC2,CFS,707.71295
1985-06-02T15:00:00Z,QINE,DRRC2,CFS,694.9538
1985-06-02T16:00:00Z,QINE,DRRC2,CFS,682.19464
1985-06-02T17:00:00Z,QINE,DRRC2,CFS,669.43896
1985-06-02T18:00:00Z,QINE,DRRC2,CFS,656.67975
1985-06-02T19:00:00Z,QINE,DRRC2,CFS,657.5732
1985-06-02T20:00:00Z,QINE,DRRC2,CFS,658.4702
1985-06-02T21:00:00Z,QINE,DRRC2,CFS,659.3672
1985-06-02T22:00:00Z,QINE,DRRC2,CFS,660.2607
1985-06-02T23:00:00Z,QINE,DRRC2,CFS,661.1577
1985-06-03T00:00:00Z,QINE,DRRC2,CFS,662.05115
1985-06-03T01:00:00Z,QINE,DRRC2,CFS,678.38416
1985-06-03T02:00:00Z,QINE,DRRC2,CFS,694.7137
1985-06-03T03:00:00Z,QINE,DRRC2,CFS,711.0467
1985-06-03T04:00:00Z,QINE,DRRC2,CFS,727.3762
1985-06-03T05:00:00Z,QINE,DRRC2,CFS,743.7057
1985-06-03T06:00:00Z,QINE,DRRC2,CFS,760.03876
1985-06-03T07:00:00Z,QINE,DRRC2,CFS,758.05756
1985-06-03T08:00:00Z,QINE,DRRC2,CFS,756.07996
1985-06-03T09:00:00Z,QINE,DRRC2,CFS,754.1023
1985-06-03T10:00:00Z,QINE,DRRC2,CFS,752.1212
1985-06-03T11:00:00Z,QINE,DRRC2,CFS,750.14355
1985-06-03T12:00:00Z,QINE,DRRC2,CFS,748.1624
1985-06-03T13:00:00Z,QINE,DRRC2,CFS,733.23846
1985-06-03T14:00:00Z,QINE,DRRC2,CFS,718.318
1985-06-03T15:00:00Z,QINE,DRRC2,CFS,703.394
