"Precipitation, cumulative, millimeters"|"72194"|"Precipitation"|"mm"|"sum"
"Cloud cover, percent"|"00032"|"Cloud Cover"|"%"|"None"
"Stream velocity, feet per second"|"00055"|"Velocity"|"ft/sec"|"None"
"Flow rate, instantaneous, gallons per minute"|"00059"|"Flow Rate"|"gal/min"|"instant"
"Discharge, gallons per minute"|"50042"|"Streamflow"|"gal/min"|"None"
"Flow, maximum during 24 hour period, million gallons per day"|"50047"|"Flow Rate"|"mgd"|"max"
"Flow, minimum during 24 hour period, million gallons per day"|"50048"|"Flow Rate"|"mgd"|"min"
"Flow rate, instantaneous, million gallons per day"|"50051"|"Flow Rate"|"mgd"|"instant"
"Stream velocity, meters per second"|"72149"|"Velocity"|"m/sec"|"None"
"Discharge, cumulative, acre-feet"|"72272"|"Streamflow"|"ac-ft"|"sum"
"Discharge, cubic feet per day"|"72243"|"Streamflow"|"ft3/day"|"None"
"Discharge duration, minutes"|"81381"|"Streamflow"|"minutes"|"None"
"Discharge velocity, meters per second"|"81380"|"Streamflow Velocity"|"m/sec"|"None"
"Streamflow, daily, acre-feet"|"74082"|"Streamflow"|"ac-ft"|"None"
"Mean water velocity for discharge computation, miles per hour"|"72294"|"Velocity"|"mph"|"sum"
"Stream velocity, miles per hour"|"72321"|"Velocity"|"mph"|"None"
"Flow rate, liters per second"|"74072"|"Flow Rate"|"l/sec"|"None"
"Discharge, cubic meters per second"|"30208"|"Streamflow"|"m3/sec"|"None"
"Discharge, instantaneous, cubic meters per second"|"30209"|"Streamflow"|"m3/sec"|"instant"
"Discharge, cubic feet per second"|"00060"|"Streamflow"|"ft3/s"|"None"
"Discharge, instantaneous, cubic feet per second"|"00061"|"Streamflow"|"ft3/s"|"instant"
"Temperature, air, degrees Fahrenheit"|"00021"|"Temperature"|"deg F"|"None"
"Temperature, air, degrees Celsius"|"00020"|"Temperature"|"deg C"|"None"
"Temperature, snow, degrees Celsius"|"81029"|"Snow Temperature"|"deg C"|"None"
"Precipitation, inches"|"46529"|"Precipitation"|"in"|"None"
"Precipitation, cumulative, inches"|"72192"|"Precipitation"|"in"|"sum"
"Water content of snow, inches"|"81026"|"Water Content"|"in"|"None"
"Snow depth, inches"|"82300"|"Snow Depth"|"in"|"None"
"Snow depth, meters"|"72189"|"Snow Depth"|"m"|"None"
"Precipitation, millimeters"|"99772"|"Precipitation"|"mm"|"None"
"Snow depth, feet"|"72198"|"Snow Depth"|"ft"|"None"
